Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Aaron Harrison,2015,29.0,76.5,78.0,80.25,100.5,34.5,135.0,28.5,129.0,209.0,6.0,8.3,10.0,1.0,35.5,3.27
Aaron White,2015,49.0,79.75,80.75,83.5,106.5,35.0,141.5,30.0,136.5,220.0,8.0,8.25,9.25,7.0,11.62,3.38
Alan Williams,2015,29.0,79.25,80.25,85.75,106.5,28.5,135.0,25.5,132.0,261.0,12.0,8.5,9.5,8.0,12.07,3.5
Andrew Harrison,2015,44.0,76.5,77.5,81.0,100.0,33.0,133.0,26.5,126.5,213.0,5.9,8.25,9.25,35.5,11.16,3.34
Anthony Brown,2015,34.0,77.25,80.5,83.25,104.5,34.5,139.0,27.5,132.0,211.0,6.1,8.5,9.0,4.0,11.06,3.18
Bobby Portis,2015,22.0,81.5,82.5,86.0,108.5,31.5,140.0,25.0,133.5,246.0,8.9,9.5,9.25,5.0,11.71,3.56
Branden Dawson,2015,56.0,77.5,78.75,83.0,105.0,34.5,139.5,28.5,133.5,230.0,5.8,9.0,8.75,12.0,12.37,3.2
Brandon Ashley,2015,29.0,79.25,80.5,87.25,105.0,35.5,140.5,31.5,136.5,228.0,8.8,9.0,9.5,9.0,11.3,3.58
Cameron Payne,2015,14.0,72.75,73.5,79.25,97.5,35.5,133.0,30.0,127.5,183.0,6.3,8.5,8.25,35.5,10.89,3.28
Chasson Randle,2015,29.0,72.75,73.5,79.0,96.5,39.5,136.0,33.5,130.0,179.0,4.5,8.5,9.5,6.0,10.61,3.2
Chris McCullough,2015,29.0,80.25,81.0,87.25,109.0,35.5,35.5,35.5,35.5,199.0,6.2,8.75,8.75,35.5,35.5,35.5
Chris Walker,2015,29.0,80.75,81.25,86.75,108.0,37.0,145.0,30.5,138.5,208.0,5.1,9.0,9.0,6.0,11.32,3.35
Christian Wood,2015,29.0,81.25,82.5,87.25,111.5,35.5,35.5,35.5,35.5,216.0,14.7,9.25,10.75,35.5,35.5,35.5
Cliff Alexander,2015,29.0,79.25,80.5,87.5,109.5,35.5,35.5,35.5,35.5,239.0,5.8,9.5,10.25,35.5,35.5,35.5
Corey Hawkins,2015,29.0,72.75,73.75,80.0,99.5,34.0,133.5,28.5,128.0,192.0,5.5,8.3,9.0,9.0,10.97,3.51
D'Angelo Russell,2015,2.0,75.25,77.0,81.75,102.0,35.5,35.5,35.5,35.5,193.0,8.3,8.75,9.75,35.5,35.5,35.5
Dakari Johnson,2015,48.0,83.0,83.75,86.0,112.0,25.0,137.0,22.5,134.5,265.0,14.9,9.25,10.5,4.0,11.5,3.62
Delon Wright,2015,20.0,76.25,77.5,79.5,101.5,31.0,132.5,29.5,131.0,181.0,6.6,8.0,8.5,4.0,11.21,3.29
Devin Booker,2015,13.0,76.5,77.75,80.25,102.5,34.5,137.0,27.5,130.0,206.0,8.3,8.75,9.0,8.0,10.22,3.28
Dez Wells,2015,29.0,75.0,76.0,81.5,100.5,39.0,139.5,31.5,132.0,209.0,8.1,8.75,9.75,15.0,10.75,3.2
Frank Kaminsky,2015,9.0,83.75,84.75,83.0,109.5,35.5,35.5,35.5,35.5,231.0,9.4,8.5,9.5,35.5,35.5,35.5
George De Paula,2015,29.0,76.5,77.5,84.0,104.0,34.0,138.0,28.0,132.0,197.0,6.7,9.5,10.0,6.0,11.38,3.45
J.P. Tokoto,2015,58.0,77.25,78.25,82.0,100.5,40.0,140.5,34.5,135.0,196.0,4.1,8.0,8.75,12.0,11.01,3.27
Jarell Martin,2015,25.0,80.0,81.25,81.75,106.5,34.5,141.0,28.5,135.0,239.0,10.1,8.25,-1.0,19.0,11.12,3.27
Jerian Grant,2015,19.0,75.25,76.25,79.5,100.0,35.5,35.5,35.5,35.5,198.0,5.6,8.25,8.5,35.5,35.5,35.5
Jonathan Holmes,2015,29.0,80.25,81.25,83.5,107.5,31.0,138.5,25.5,133.0,242.0,7.2,8.25,9.5,35.5,10.97,3.51
Jordan Mickey,2015,33.0,79.0,80.25,87.25,106.0,37.5,143.5,33.0,139.0,238.0,7.2,8.75,9.5,9.0,11.8,3.28
Joseph Young,2015,43.0,72.75,74.0,77.0,94.5,40.5,135.0,34.5,129.0,182.0,4.1,8.25,7.5,9.0,10.74,3.25
Justin Anderson,2015,21.0,77.25,78.25,83.75,101.0,43.0,144.0,38.0,139.0,231.0,5.0,8.5,9.5,12.0,11.1,3.22
Justise Winslow,2015,10.0,76.5,78.5,82.25,104.5,35.5,35.5,35.5,35.5,222.0,5.3,8.5,9.25,35.5,35.5,35.5
Keifer Sykes,2015,29.0,70.5,71.75,74.0,93.0,43.0,136.0,34.0,127.0,167.0,5.0,8.5,9.5,8.0,10.5,3.13
Kelly Oubre,2015,15.0,77.75,78.75,86.25,102.5,37.0,139.5,34.5,137.0,203.0,5.7,9.0,8.75,7.0,11.1,3.32
Kevon Looney,2015,30.0,80.0,81.25,87.5,110.0,35.5,35.5,35.5,35.5,222.0,11.9,9.5,9.25,35.5,35.5,35.5
Larry Nance,2015,27.0,79.5,80.5,85.5,108.0,37.5,145.5,29.0,137.0,227.0,6.4,9.0,9.75,10.0,10.89,3.25
Marcus Thornton,2015,45.0,73.75,74.75,79.75,97.5,43.0,140.5,34.5,132.0,177.0,5.3,8.25,8.5,3.0,10.96,3.02
Michael Frazier,2015,29.0,75.75,76.25,80.0,101.5,35.0,136.5,24.0,125.5,199.0,7.4,8.25,9.25,10.0,10.8,3.32
Michael Qualls,2015,29.0,76.0,77.0,84.25,104.5,39.5,144.0,34.0,138.5,201.0,4.0,9.0,10.25,9.0,11.88,35.5
Montrezl Harrell,2015,32.0,79.0,79.5,88.25,109.0,35.5,35.5,35.5,35.5,253.0,11.9,9.0,9.75,35.5,35.5,35.5
Mouhammadou Jaiteh,2015,29.0,81.5,82.5,87.25,110.5,31.5,142.0,24.5,135.0,247.0,9.9,9.0,9.25,7.0,12.05,3.38
Myles Turner,2015,11.0,81.75,83.5,88.0,112.0,35.5,35.5,35.5,35.5,239.0,9.3,9.25,9.25,35.5,35.5,35.5
Norman Powell,2015,46.0,75.0,76.25,82.75,102.5,40.5,143.0,32.5,135.0,215.0,6.4,9.25,9.0,5.0,10.76,3.2
Olivier Hanlan,2015,42.0,75.25,76.25,78.5,100.0,34.0,134.0,28.0,128.0,186.0,4.3,8.0,8.75,19.0,11.36,3.25
Pat Connaughton,2015,41.0,76.0,77.25,80.75,96.0,44.0,140.0,37.5,133.5,215.0,10.2,8.5,9.25,13.0,10.74,3.2
Quinn Cook,2015,29.0,72.25,74.0,76.0,96.5,31.0,127.5,24.5,121.0,179.0,6.7,7.5,8.25,14.0,11.28,3.38
R.J. Hunter,2015,28.0,76.5,78.0,82.5,104.0,33.5,137.5,27.5,131.5,185.0,6.0,8.5,8.25,1.0,10.97,3.26
Rakeem Christmas,2015,36.0,80.25,81.75,89.25,110.5,35.5,35.5,29.0,139.5,243.0,9.6,9.25,-1.0,9.0,11.57,3.47
Rashad Vaughn,2015,17.0,75.75,77.0,79.0,101.0,34.0,135.0,28.0,129.0,199.0,6.2,8.0,8.5,5.0,11.41,3.21
Richaun Holmes,2015,37.0,80.25,81.5,85.5,108.0,36.0,144.0,32.5,140.5,243.0,8.8,8.5,8.5,15.0,11.37,3.32
Robert Upshaw,2015,29.0,82.75,84.0,89.5,113.0,35.5,35.5,35.5,35.5,258.0,12.5,10.0,11.0,35.5,35.5,35.5
Rondae Hollis-Jefferson,2015,23.0,77.5,79.0,86.0,104.0,38.0,142.0,32.0,136.0,211.0,5.0,8.75,9.75,13.0,10.51,3.12
Ryan Boatright,2015,29.0,70.0,71.0,72.5,92.5,41.0,133.5,32.0,124.5,170.0,6.6,7.5,8.75,10.0,10.79,3.26
Sam Dekker,2015,18.0,79.75,81.0,83.5,106.0,34.5,140.5,25.5,131.5,219.0,7.5,8.5,9.25,5.0,10.71,3.28
Stanley Johnson,2015,8.0,77.0,78.5,83.5,102.0,35.5,35.5,35.5,35.5,242.0,7.5,9.0,9.0,35.5,35.5,35.5
T.J. McConnell,2015,29.0,72.5,74.0,74.0,96.5,31.5,128.0,26.0,122.5,188.0,7.3,7.5,7.0,7.0,10.84,3.3
TaShawn Thomas,2015,29.0,79.25,80.0,86.0,108.0,30.5,138.5,26.0,134.0,240.0,12.4,9.0,9.25,9.0,11.69,3.47
Terran Petteway,2015,29.0,76.75,78.0,83.25,104.5,31.0,135.5,25.0,129.5,209.0,4.9,8.25,8.25,15.0,10.96,3.32
Terry Rozier,2015,16.0,72.75,74.25,80.25,98.5,38.0,136.5,33.0,131.5,190.0,5.6,8.25,8.75,7.0,10.88,3.15
Treveon Graham,2015,29.0,76.75,77.75,82.5,103.0,31.5,134.5,28.5,131.5,219.0,5.5,8.5,8.25,11.0,11.6,3.3
Trey Lyles,2015,12.0,81.0,82.25,85.5,108.0,35.5,35.5,35.5,35.5,241.0,12.1,9.25,10.25,35.5,35.5,35.5
Tyler Harvey,2015,51.0,74.75,76.0,77.5,98.5,28.5,127.0,26.0,124.5,181.0,9.2,7.75,8.75,1.0,10.52,3.44
Tyus Jones,2015,24.0,72.25,74.0,77.0,97.0,32.5,129.5,26.5,123.5,185.0,6.5,8.25,8.75,2.0,11.89,3.32
Vince Hunter,2015,29.0,78.75,79.5,83.0,104.5,37.5,142.0,33.5,138.0,208.0,4.6,9.0,8.75,13.0,11.33,3.26
Willie Cauley-Stein,2015,6.0,83.25,84.5,87.0,111.0,35.5,35.5,35.5,35.5,242.0,6.3,9.5,9.0,35.5,35.5,35.5
A.J. English,2016,29.0,74.0,75.0,82.0,98.5,35.5,134.0,29.5,128.0,182.0,5.3,8.75,8.5,35.5,12.27,3.28
Ben Bentil,2016,51.0,79.25,80.25,85.5,105.0,33.0,138.0,29.0,134.0,229.0,9.7,9.5,10.0,35.5,11.16,3.3
Brice Johnson,2016,25.0,81.0,82.5,84.5,106.5,38.0,144.5,33.5,140.0,209.0,7.5,9.0,8.25,35.5,11.88,3.2
Buddy Hield,2016,6.0,75.75,77.0,81.25,101.0,35.5,35.5,35.5,35.5,212.0,6.1,8.5,9.0,35.5,35.5,35.5
Caleb Swanigan,2016,29.0,79.5,80.5,87.5,107.0,29.0,136.0,26.0,133.0,247.0,12.6,9.0,10.25,35.5,12.8,35.5
Caris LeVert,2016,20.0,77.75,79.0,82.0,101.0,35.5,35.5,35.5,35.5,191.0,7.6,8.5,9.25,35.5,35.5,35.5
Cat Barber,2016,29.0,73.5,74.75,77.5,95.5,35.5,35.5,35.5,35.5,173.0,4.5,8.0,8.5,35.5,35.5,35.5
Cheick Diallo,2016,33.0,79.5,81.0,88.5,107.5,35.0,142.5,31.0,138.5,219.0,5.6,8.5,9.75,35.5,11.24,3.26
Chinanu Onuaku,2016,37.0,81.0,82.0,86.75,108.5,33.5,142.0,27.5,136.0,245.0,8.6,9.0,8.0,35.5,11.65,3.5
Damian Jones,2016,30.0,82.25,83.5,87.75,107.0,37.0,144.0,36.0,143.0,244.0,6.6,8.75,10.5,35.5,11.35,3.2
Daniel Hamilton,2016,56.0,78.25,80.0,81.0,103.5,29.0,132.5,26.0,129.5,197.0,6.0,9.0,8.5,35.5,11.48,3.4
DeAndre Bembry,2016,21.0,76.25,77.75,81.25,101.0,38.0,139.0,32.0,133.0,207.0,7.0,8.0,9.25,35.5,10.9,3.17
Dedric Lawson,2016,29.0,79.0,80.0,86.5,106.5,28.0,134.5,22.5,129.0,225.0,11.1,9.5,9.5,35.5,12.48,3.65
Demetrius Jackson,2016,45.0,72.0,73.25,77.5,93.0,43.5,136.5,37.5,130.5,194.0,6.5,8.25,9.0,35.5,10.81,3.25
Denzel Valentine,2016,14.0,76.0,77.75,82.75,102.0,32.0,134.0,27.0,129.0,210.0,9.2,8.5,9.75,35.5,10.51,3.46
Deyonta Davis,2016,31.0,81.25,82.5,86.5,108.5,35.5,35.5,35.5,35.5,237.0,9.7,9.0,9.25,35.5,35.5,35.5
Diamond Stone,2016,40.0,81.0,82.25,86.75,108.5,29.5,138.0,27.0,135.5,254.0,12.9,8.5,7.75,35.5,12.02,3.5
Dorian Finney-Smith,2016,29.0,78.5,79.75,83.75,105.5,35.5,141.0,32.5,138.0,213.0,6.5,9.0,9.75,35.5,11.01,3.27
Elgin Cook,2016,29.0,77.0,78.25,82.0,100.5,35.5,35.5,35.5,35.5,210.0,6.4,8.5,10.25,35.5,35.5,35.5
Gary Payton II,2016,29.0,74.0,75.0,80.0,99.5,38.5,138.0,31.5,131.0,184.0,4.0,8.75,9.5,35.5,11.57,3.23
Georges Niang,2016,50.0,78.75,80.5,82.0,103.0,31.0,134.0,25.0,128.0,231.0,10.1,9.25,9.25,35.5,11.64,3.49
Henry Ellenson,2016,18.0,82.0,83.5,86.25,108.0,35.5,35.5,35.5,35.5,242.0,11.2,8.5,9.75,35.5,35.5,35.5
Isaiah Cousins,2016,59.0,75.25,76.5,78.25,98.5,37.0,135.5,30.5,129.0,194.0,4.8,8.25,8.75,35.5,10.79,3.24
Isaiah Miles,2016,29.0,78.75,79.75,82.5,105.0,31.5,136.5,24.0,129.0,220.0,9.6,9.0,9.5,35.5,11.76,3.39
Isaiah Whitehead,2016,42.0,75.25,76.5,80.75,100.0,35.5,135.5,27.5,127.5,210.0,9.3,8.5,8.75,35.5,11.65,3.34
Jake Layman,2016,47.0,80.0,81.25,81.25,102.0,39.5,141.5,33.0,135.0,209.0,7.1,8.25,9.25,35.5,11.35,3.24
Jakob Poeltl,2016,9.0,84.25,85.0,86.75,111.5,35.5,35.5,35.5,35.5,239.0,5.8,9.25,10.25,35.5,35.5,35.5
Jaron Blossomgame,2016,29.0,78.25,79.25,82.0,102.0,41.0,143.0,35.0,137.0,214.0,5.3,8.5,10.0,35.5,11.53,3.2
Jarrod Uthoff,2016,29.0,80.5,81.75,83.5,104.0,34.5,138.5,29.0,133.0,214.0,6.0,8.75,9.0,35.5,11.52,3.5
Jaylen Brown,2016,3.0,77.25,78.75,83.75,102.5,35.5,35.5,35.5,35.5,223.0,5.1,8.75,9.0,35.5,35.5,35.5
Joel Bolomboy,2016,52.0,79.5,81.0,85.75,103.5,40.5,144.0,37.5,141.0,224.0,5.2,9.0,10.25,35.5,10.26,3.17
Josh Hart,2016,29.0,76.0,77.5,80.5,99.5,38.5,138.0,29.5,129.0,204.0,5.8,8.5,9.25,35.5,11.15,3.2
Justin Jackson,2016,29.0,79.0,80.25,82.75,103.5,34.5,138.0,29.5,133.0,193.0,7.6,8.75,8.75,35.5,11.32,3.26
Kay Felder,2016,54.0,68.25,69.5,74.5,88.5,44.0,132.5,35.5,124.0,177.0,5.8,8.25,8.5,35.5,11.52,3.15
Kris Dunn,2016,5.0,75.0,76.25,81.5,100.0,35.5,35.5,35.5,35.5,35.5,35.5,-1.0,-1.0,35.5,35.5,35.5
Kyle Wiltjer,2016,29.0,80.75,82.0,84.25,102.5,35.5,138.0,28.5,131.0,243.0,15.3,8.25,9.5,35.5,11.35,3.48
Malachi Richardson,2016,22.0,76.75,78.25,84.0,101.5,38.0,139.5,33.0,134.5,200.0,7.0,8.75,10.0,35.5,10.56,3.33
Malcolm Brogdon,2016,36.0,75.75,77.5,82.5,98.0,35.5,133.5,30.5,128.5,223.0,5.4,9.0,10.25,35.5,10.77,3.31
Malik Beasley,2016,19.0,75.5,76.5,79.0,100.5,35.5,35.5,35.5,35.5,190.0,6.9,8.5,9.0,35.5,35.5,35.5
Malik Newman,2016,29.0,74.25,75.5,77.75,97.5,35.5,133.0,30.0,127.5,182.0,5.6,8.25,9.25,35.5,10.88,3.28
Marcus Lee,2016,29.0,81.0,82.25,87.0,107.5,35.5,143.0,28.5,136.0,211.0,5.4,9.0,9.0,35.5,11.68,3.25
Marcus Paige,2016,55.0,72.5,73.75,78.25,97.0,39.5,136.5,33.5,130.5,164.0,4.3,7.75,8.75,35.5,10.82,3.15
Marquese Chriss,2016,8.0,80.75,82.0,84.25,105.0,38.5,143.5,32.5,137.5,233.0,8.5,9.0,9.0,35.5,11.93,3.26
Melo Trimble,2016,29.0,73.25,74.5,74.0,92.5,35.5,128.0,26.5,119.0,192.0,8.4,8.0,8.75,35.5,10.57,3.2
Michael Gbinije,2016,49.0,77.5,78.75,79.5,101.0,37.5,138.5,33.5,134.5,205.0,5.4,8.0,9.0,35.5,11.0,3.12
Nigel Hayes,2016,29.0,78.25,79.25,87.0,107.5,28.5,136.0,25.5,133.0,245.0,10.9,8.5,9.5,35.5,12.11,3.2
Pascal Siakam,2016,27.0,80.25,81.5,87.25,107.5,36.5,144.0,30.5,138.0,227.0,5.2,9.25,10.0,35.5,11.25,3.41
Patrick McCaw,2016,38.0,77.25,78.75,82.0,100.5,38.0,138.5,30.0,130.5,181.0,4.7,8.75,8.75,35.5,11.01,3.3
Perry Ellis,2016,29.0,79.0,80.25,82.25,102.0,38.0,140.0,32.0,134.0,218.0,4.6,8.0,8.5,35.5,10.73,3.13
Robert Carter,2016,29.0,78.75,80.5,87.25,106.5,30.5,137.0,24.5,131.0,251.0,12.5,8.75,9.5,35.5,11.97,3.65
Ron Baker,2016,29.0,75.25,76.25,81.75,97.5,35.5,133.0,30.0,127.5,212.0,7.9,8.75,9.5,35.5,10.77,3.45
Sheldon McClellan,2016,29.0,77.0,78.25,79.0,99.5,41.5,141.0,35.0,134.5,198.0,4.8,8.0,8.0,35.5,10.45,3.26
Skal Labissiere,2016,28.0,82.5,83.75,86.5,105.5,35.5,35.5,35.5,35.5,216.0,5.7,8.75,9.0,35.5,35.5,35.5
Stephen Zimmerman,2016,41.0,82.25,83.75,87.25,108.5,31.0,139.5,26.0,134.5,234.0,11.2,9.0,9.0,35.5,12.08,3.43
Taurean Prince,2016,12.0,78.5,79.75,83.5,102.0,36.0,138.0,34.0,136.0,220.0,6.5,9.0,8.5,35.5,10.96,3.24
Thon Maker,2016,10.0,83.75,84.75,87.0,110.5,36.5,147.0,32.0,142.5,216.0,6.1,8.75,9.5,35.5,11.15,3.33
Troy Williams,2016,29.0,77.75,78.75,80.25,102.0,36.0,138.0,30.0,132.0,218.0,10.0,8.25,9.25,35.5,10.72,3.35
Tyler Ulis,2016,34.0,68.75,70.0,74.0,88.5,38.0,126.5,32.5,121.0,149.0,5.2,7.5,7.5,35.5,10.8,3.2
Wade Baldwin,2016,17.0,74.5,76.0,83.25,100.0,38.0,138.0,32.5,132.5,202.0,5.2,9.0,9.75,35.5,10.45,3.19
Wayne Selden,2016,29.0,76.25,77.75,82.5,101.0,35.5,35.5,35.5,35.5,232.0,7.3,9.0,9.25,35.5,35.5,35.5
Zhou Qi,2016,43.0,85.25,86.25,91.75,112.5,32.0,144.5,31.5,144.0,218.0,4.9,9.25,9.5,35.5,11.27,3.46
